X,Y
-9.80186841415707,-35.69323113467544
-9.80186841415707,-35.69323113467544
-9.815386973088607,-35.698883757926524
-9.815386973088607,-35.698883757926524
-9.821874936809763,-35.70022792275995
-9.821874936809763,-35.70022792275995
-9.826653838041238,-35.70340927597135
-9.826653838041238,-35.70340927597135
-9.828216047142632,-35.70231102313846
-9.828216047142632,-35.70231102313846
-9.82794893044047,-35.70027387235314
-9.82794893044047,-35.70027387235314
-9.825955956825055,-35.702293924987316
-9.825955956825055,-35.702293924987316
-9.827400701702572,-35.69804958254099
-9.827400701702572,-35.69804958254099
-9.827958727139048,-35.69897886365652
-9.827958727139048,-35.69897886365652
-9.829216032172553,-35.70083849411458
-9.829216032172553,-35.70083849411458
-9.829769859090447,-35.70232277736068
-9.829769859090447,-35.70232277736068
-9.831698455265723,-35.708812781609595
-9.831698455265723,-35.708812781609595
-9.83285789063666,-35.70493630412966
-9.83285789063666,-35.70493630412966
-9.83423545898404,-35.70957202091813
-9.83423545898404,-35.70957202091813
-9.832678846898489,-35.70993026904762
-9.832678846898489,-35.70993026904762
-9.83580046822317,-35.70810376573354
-9.83580046822317,-35.70810376573354
-9.837520727072842,-35.70478656608611
-9.837520727072842,-35.70478656608611
-9.840067528537475,-35.704250796698034
-9.840067528537475,-35.704250796698034
-9.84133882902097,-35.70426041446626
-9.84133882902097,-35.70426041446626
-9.842887043836527,-35.7050121743232
-9.842887043836527,-35.7050121743232
-9.840909464051947,-35.704997214488685
-9.840909464051947,-35.704997214488685
-9.840624154545367,-35.705365078523755
-9.840624154545367,-35.705365078523755
-9.839915076037869,-35.70572973974049
-9.839915076037869,-35.70572973974049
-9.841159786330536,-35.70925438031554
-9.841159786330536,-35.70925438031554
-9.841438099276274,-35.709811521694064
-9.841438099276274,-35.709811521694064
-9.842857653740793,-35.70889720134437
-9.842857653740793,-35.70889720134437
-9.840426915790886,-35.71276406105608
-9.840426915790886,-35.71276406105608
-9.841840873123147,-35.71258974540979
-9.841840873123147,-35.71258974540979
-9.843408680404536,-35.71075148880482
-9.843408680404536,-35.71075148880482
-9.844263212755322,-35.70983289461583
-9.844263212755322,-35.70983289461583
-9.845533113577403,-35.7100275112316
-9.845533113577403,-35.7100275112316
-9.844562517595477,-35.70761501509696
-9.844562517595477,-35.70761501509696
-9.844000293524005,-35.707240738905966
-9.844000293524005,-35.707240738905966
-9.84161434287671,-35.70518755912781
-9.84161434287671,-35.70518755912781
-9.841762596857734,-35.704263621009886
-9.841762596857734,-35.704263621009886
-9.841327632660978,-35.70574042480439
-9.841327632660978,-35.70574042480439
-9.842702402034774,-35.71074614580721
-9.842702402034774,-35.71074614580721
-9.840860480442643,-35.711472257971764
-9.840860480442643,-35.711472257971764
-9.840438112034462,-35.711284052580595
-9.840438112034462,-35.711284052580595
-9.840140206739306,-35.71331692766398
